,1,2,3,class,mu_1,mu_2
87,0.0,0.0,1.0,3,1.0,1.0
88,1.0,0.0,0.0,1,0.0,0.0
89,1.0,0.0,0.0,1,0.0,0.0
90,1.0,0.0,0.0,1,0.0,0.0
91,1.0,0.0,0.0,1,0.0,0.0
92,1.0,0.0,0.0,1,0.0,0.0
93,0.0,1.0,0.0,2,1.0,0.0
94,1.0,0.0,0.0,1,0.0,0.0
95,0.0,0.0,1.0,3,1.0,1.0
96,1.0,0.0,0.0,1,0.0,0.0
97,-0.0,1.0,0.0,2,1.0,0.0
98,0.0,0.0,1.0,3,1.0,1.0
99,0.0,0.0,1.0,3,1.0,1.0
100,1.0,0.0,0.0,1,0.0,0.0
101,1.0,0.0,0.0,1,0.0,0.0
102,1.0,0.0,0.0,1,0.0,0.0
103,0.0,1.0,0.0,2,1.0,0.0
104,1.0,0.0,0.0,1,0.0,0.0
105,1.0,0.0,0.0,1,0.0,0.0
106,0.0,1.0,0.0,2,1.0,0.0
107,0.0,1.0,0.0,2,1.0,0.0
108,1.0,0.0,0.0,1,0.0,0.0
109,1.0,0.0,0.0,1,0.0,0.0
110,1.0,0.0,0.0,1,0.0,0.0
111,0.92,0.08,0.0,1,0.08,0.0
112,0.82,0.18,0.0,1,0.18,0.0
113,0.0,-0.0,1.0,3,1.0,1.0
114,0.0,0.65,0.35,2,1.0,0.35
115,0.0,0.0,1.0,3,1.0,1.0
116,1.0,0.0,0.0,1,0.0,0.0
117,0.0,1.0,0.0,2,1.0,0.0
118,1.0,0.0,0.0,1,0.0,0.0
119,1.0,0.0,0.0,1,0.0,0.0
120,1.0,0.0,0.0,1,0.0,0.0
121,1.0,0.0,0.0,1,0.0,0.0
122,1.0,0.0,0.0,1,0.0,0.0
123,1.0,0.0,0.0,1,0.0,0.0
124,1.0,0.0,0.0,1,0.0,0.0
125,1.0,0.0,0.0,1,0.0,0.0
126,1.0,0.0,0.0,1,0.0,0.0
127,1.0,0.0,0.0,1,0.0,0.0
128,0.0,1.0,0.0,2,1.0,0.0
129,0.0,0.0,1.0,3,1.0,1.0
130,1.0,0.0,0.0,1,0.0,0.0
131,0.0,1.0,0.0,2,1.0,0.0
132,1.0,-0.0,0.0,1,0.0,0.0
133,0.0,0.0,1.0,3,1.0,1.0
134,0.17,0.83,0.0,2,0.83,0.0
135,0.0,1.0,0.0,2,1.0,0.0
136,1.0,0.0,0.0,1,0.0,0.0
137,1.0,0.0,0.0,1,0.0,0.0
138,1.0,0.0,0.0,1,0.0,0.0
139,1.0,0.0,0.0,1,0.0,0.0
140,1.0,-0.0,0.0,1,0.0,0.0
141,0.0,1.0,0.0,2,1.0,0.0
142,0.17,0.83,0.0,2,0.83,0.0
143,0.0,0.05,0.95,3,1.0,0.95
144,1.0,0.0,0.0,1,0.0,0.0
145,0.0,0.0,1.0,3,1.0,1.0
146,1.0,0.0,0.0,1,0.0,0.0
147,0.0,1.0,0.0,2,1.0,0.0
148,0.0,1.0,0.0,2,1.0,0.0
149,0.0,1.0,0.0,2,1.0,0.0
150,1.0,0.0,0.0,1,0.0,0.0
151,-0.0,1.0,0.0,2,1.0,0.0
152,0.0,1.0,0.0,2,1.0,0.0
153,0.0,0.0,1.0,3,1.0,1.0
154,1.0,0.0,0.0,1,0.0,0.0
155,1.0,0.0,0.0,1,0.0,0.0
156,1.0,0.0,0.0,1,0.0,0.0
157,1.0,0.0,0.0,1,0.0,0.0
158,1.0,0.0,0.0,1,0.0,0.0
159,0.47,0.53,0.0,2,0.53,0.0
160,1.0,0.0,0.0,1,0.0,0.0
161,1.0,0.0,0.0,1,0.0,0.0
162,0.0,1.0,0.0,2,1.0,0.0
163,0.0,1.0,0.0,2,1.0,0.0
164,1.0,0.0,0.0,1,0.0,0.0
165,1.0,0.0,0.0,1,0.0,0.0
166,1.0,0.0,0.0,1,0.0,0.0
167,0.0,1.0,0.0,2,1.0,0.0
168,1.0,0.0,0.0,1,0.0,0.0
169,0.0,1.0,0.0,2,1.0,0.0
170,0.0,1.0,0.0,2,1.0,0.0
171,0.0,0.0,1.0,3,1.0,1.0
172,1.0,0.0,0.0,1,0.0,0.0
173,0.0,1.0,0.0,2,1.0,0.0
174,1.0,-0.0,0.0,1,0.0,0.0
175,0.0,0.0,1.0,3,1.0,1.0
176,1.0,0.0,0.0,1,0.0,0.0
177,1.0,0.0,0.0,1,0.0,0.0
178,1.0,-0.06,0.06,1,0.0,0.06
179,0.0,0.0,1.0,3,1.0,1.0
180,1.0,0.0,0.0,1,0.0,0.0
181,1.0,-0.69,0.69,1,0.0,0.69
182,0.0,1.0,0.0,2,1.0,0.0
183,0.0,0.0,1.0,3,1.0,1.0
184,1.0,0.0,0.0,1,0.0,0.0
185,0.0,0.0,1.0,3,1.0,1.0
186,0.0,0.0,1.0,3,1.0,1.0
187,0.0,0.0,1.0,3,1.0,1.0
188,1.0,0.0,0.0,1,0.0,0.0
189,1.0,0.0,0.0,1,0.0,0.0
190,1.0,0.0,0.0,1,0.0,0.0
191,0.0,1.0,0.0,2,1.0,0.0
192,1.0,0.0,0.0,1,0.0,0.0
193,0.0,1.0,0.0,2,1.0,0.0
194,0.0,1.0,0.0,2,1.0,0.0
195,-0.0,1.0,0.0,2,1.0,0.0
196,0.16,0.84,0.0,2,0.84,0.0
197,0.0,0.0,1.0,3,1.0,1.0
198,1.0,0.0,0.0,1,0.0,0.0
199,0.82,0.18,0.0,1,0.18,0.0
200,1.0,0.0,0.0,1,0.0,0.0
201,0.0,1.0,0.0,2,1.0,0.0
202,1.0,0.0,0.0,1,0.0,0.0
203,0.0,1.0,0.0,2,1.0,0.0
204,1.0,0.0,0.0,1,0.0,0.0
205,0.0,1.0,0.0,2,1.0,0.0
206,0.0,1.0,0.0,2,1.0,0.0
207,0.0,0.0,1.0,3,1.0,1.0
208,0.0,0.0,1.0,3,1.0,1.0
209,0.0,0.0,1.0,3,1.0,1.0
210,0.0,1.0,0.0,2,1.0,0.0
211,0.0,0.0,1.0,3,1.0,1.0
212,1.0,-0.0,0.0,1,0.0,0.0
213,1.0,0.0,0.0,1,0.0,0.0
214,1.0,0.0,0.0,1,0.0,0.0
215,0.0,1.0,0.0,2,1.0,0.0
216,1.0,0.0,0.0,1,0.0,0.0
217,0.0,0.0,1.0,3,1.0,1.0
218,1.0,0.0,0.0,1,0.0,0.0
219,1.0,0.0,0.0,1,0.0,0.0
220,1.0,0.0,0.0,1,0.0,0.0
221,1.0,0.0,0.0,1,0.0,0.0
222,0.0,0.0,1.0,3,1.0,1.0
223,0.0,0.0,1.0,3,1.0,1.0
224,1.0,0.0,0.0,1,0.0,0.0
225,0.12,0.88,0.0,2,0.88,0.0
226,1.0,0.0,0.0,1,0.0,0.0
227,0.0,1.0,0.0,2,1.0,0.0
228,1.0,0.0,0.0,1,0.0,0.0
229,0.0,1.0,0.0,2,1.0,0.0
230,1.0,0.0,0.0,1,0.0,0.0
231,1.0,0.0,0.0,1,0.0,0.0
232,1.0,0.0,0.0,1,0.0,0.0
233,0.0,0.9,0.1,2,1.0,0.1
234,1.0,0.0,0.0,1,0.0,0.0
235,1.0,0.0,0.0,1,0.0,0.0
236,1.0,0.0,0.0,1,0.0,0.0
237,0.0,1.0,0.0,2,1.0,0.0
238,1.0,0.0,0.0,1,0.0,0.0
239,1.0,0.0,0.0,1,0.0,0.0
240,1.0,0.0,0.0,1,0.0,0.0
241,1.0,0.0,0.0,1,0.0,0.0
242,0.99,0.01,0.0,1,0.01,0.0
243,-0.0,1.0,0.0,2,1.0,0.0
244,1.0,0.0,0.0,1,0.0,0.0
245,0.0,0.0,1.0,3,1.0,1.0
246,0.0,1.0,0.0,2,1.0,0.0
247,0.0,0.65,0.35,2,1.0,0.35
248,1.0,0.0,0.0,1,0.0,0.0
249,-0.0,1.0,0.0,2,1.0,0.0
250,1.0,0.0,0.0,1,0.0,0.0
251,1.0,0.0,0.0,1,0.0,0.0
252,1.0,0.0,0.0,1,0.0,0.0
253,0.82,0.18,0.0,1,0.18,0.0
254,-0.0,1.0,0.0,2,1.0,0.0
255,0.0,0.0,1.0,3,1.0,1.0
256,1.0,0.0,0.0,1,0.0,0.0
257,0.99,0.01,0.0,1,0.01,0.0
258,1.0,0.0,0.0,1,0.0,0.0
259,1.0,0.0,0.0,1,0.0,0.0
260,1.0,0.0,0.0,1,0.0,0.0
261,1.0,0.0,0.0,1,0.0,0.0
262,0.0,1.0,0.0,2,1.0,0.0
263,0.0,0.0,1.0,3,1.0,1.0
264,1.0,0.0,0.0,1,0.0,0.0
265,0.99,0.01,0.0,1,0.01,0.0
266,1.0,0.0,0.0,1,0.0,0.0
267,1.0,0.0,0.0,1,0.0,0.0
268,1.0,0.0,0.0,1,0.0,0.0
269,1.0,0.0,0.0,1,0.0,0.0
270,0.0,1.0,0.0,2,1.0,0.0
271,0.0,0.0,1.0,3,1.0,1.0
272,1.0,0.0,0.0,1,0.0,0.0
273,1.0,0.0,0.0,1,0.0,0.0
274,0.12,0.88,0.0,2,0.88,0.0
275,0.0,1.0,0.0,2,1.0,0.0
276,1.0,0.0,0.0,1,0.0,0.0
277,0.0,1.0,0.0,2,1.0,0.0
278,1.0,0.0,0.0,1,0.0,0.0
279,0.0,1.0,0.0,2,1.0,0.0
280,0.0,0.0,1.0,3,1.0,1.0
281,0.0,0.0,1.0,3,1.0,1.0
282,1.0,0.0,0.0,1,0.0,0.0
283,0.98,0.02,0.0,1,0.02,0.0
284,0.9,0.1,0.0,1,0.1,0.0
285,0.0,1.0,0.0,2,1.0,0.0
286,1.0,0.0,0.0,1,0.0,0.0
287,0.0,1.0,0.0,2,1.0,0.0
288,1.0,0.0,0.0,1,0.0,0.0
289,1.0,0.0,0.0,1,0.0,0.0
290,1.0,0.0,0.0,1,0.0,0.0
291,0.02,0.98,0.0,2,0.98,0.0
292,1.0,0.0,0.0,1,0.0,0.0
293,1.0,0.0,0.0,1,0.0,0.0
294,0.02,0.98,0.0,2,0.98,0.0
295,0.0,-0.0,1.0,3,1.0,1.0
296,0.08,0.92,0.0,2,0.92,0.0
297,-0.0,1.0,0.0,2,1.0,0.0
298,1.0,0.0,0.0,1,0.0,0.0
299,1.0,-0.06,0.06,1,0.0,0.06
300,0.0,-0.0,1.0,3,1.0,1.0
301,0.0,0.0,1.0,3,1.0,1.0
302,1.0,0.0,0.0,1,0.0,0.0
303,1.0,0.0,0.0,1,0.0,0.0
304,0.0,1.0,0.0,2,1.0,0.0
305,0.0,0.0,1.0,3,1.0,1.0
306,1.0,0.0,0.0,1,0.0,0.0
307,0.0,0.0,1.0,3,1.0,1.0
308,1.0,0.0,0.0,1,0.0,0.0
309,1.0,0.0,0.0,1,0.0,0.0
310,1.0,0.0,0.0,1,0.0,0.0
311,0.0,0.0,1.0,3,1.0,1.0
312,1.0,0.0,0.0,1,0.0,0.0
313,1.0,0.0,0.0,1,0.0,0.0
314,1.0,0.0,0.0,1,0.0,0.0
315,1.0,0.0,0.0,1,0.0,0.0
316,1.0,0.0,0.0,1,0.0,0.0
317,1.0,0.0,0.0,1,0.0,0.0
318,1.0,0.0,0.0,1,0.0,0.0
319,1.0,0.0,0.0,1,0.0,0.0
320,1.0,0.0,0.0,1,0.0,0.0
321,1.0,0.0,0.0,1,0.0,0.0
322,0.0,0.0,1.0,3,1.0,1.0
323,0.0,0.0,1.0,3,1.0,1.0
324,0.0,0.03,0.97,3,1.0,0.97
325,0.0,0.0,1.0,3,1.0,1.0
326,1.0,0.0,0.0,1,0.0,0.0
327,1.0,0.0,0.0,1,0.0,0.0
328,0.0,0.0,1.0,3,1.0,1.0
329,0.0,0.0,1.0,3,1.0,1.0
330,1.0,0.0,0.0,1,0.0,0.0
331,1.0,0.0,0.0,1,0.0,0.0
332,1.0,-0.0,0.0,1,0.0,0.0
333,1.0,0.0,0.0,1,0.0,0.0
334,1.0,0.0,0.0,1,0.0,0.0
335,1.0,0.0,0.0,1,0.0,0.0
336,1.0,0.0,0.0,1,0.0,0.0
337,1.0,0.0,0.0,1,0.0,0.0
338,0.0,1.0,0.0,2,1.0,0.0
339,0.0,0.0,1.0,3,1.0,1.0
340,1.0,0.0,0.0,1,0.0,0.0
341,0.0,0.0,1.0,3,1.0,1.0
342,1.0,0.0,0.0,1,0.0,0.0
343,0.0,1.0,0.0,2,1.0,0.0
344,1.0,0.0,0.0,1,0.0,0.0
345,0.0,1.0,0.0,2,1.0,0.0
346,1.0,0.0,0.0,1,0.0,0.0
347,1.0,0.0,0.0,1,0.0,0.0
348,1.0,0.0,0.0,1,0.0,0.0
349,1.0,0.0,0.0,1,0.0,0.0
350,0.0,1.0,0.0,2,1.0,0.0
351,0.0,1.0,0.0,2,1.0,0.0
352,1.0,0.0,0.0,1,0.0,0.0
353,0.0,0.0,1.0,3,1.0,1.0
354,1.0,0.0,0.0,1,0.0,0.0
355,1.0,0.0,0.0,1,0.0,0.0
356,1.0,0.0,0.0,1,0.0,0.0
357,1.0,0.0,0.0,1,0.0,0.0
358,0.0,1.0,0.0,2,1.0,0.0
359,0.0,1.0,0.0,2,1.0,0.0
360,1.0,0.0,0.0,1,0.0,0.0
361,1.0,0.0,0.0,1,0.0,0.0
362,1.0,0.0,0.0,1,0.0,0.0
363,1.0,0.0,0.0,1,0.0,0.0
364,0.0,0.0,1.0,3,1.0,1.0
365,0.0,0.9,0.1,2,1.0,0.1
366,1.0,0.0,0.0,1,0.0,0.0
367,1.0,0.0,0.0,1,0.0,0.0
368,1.0,0.0,0.0,1,0.0,0.0
369,-0.0,1.0,0.0,2,1.0,0.0
370,0.0,1.0,0.0,2,1.0,0.0
371,0.0,-0.0,1.0,3,1.0,1.0
372,1.0,0.0,0.0,1,0.0,0.0
373,0.0,1.0,0.0,2,1.0,0.0
374,1.0,0.0,0.0,1,0.0,0.0
375,0.0,1.0,0.0,2,1.0,0.0
376,0.0,0.03,0.97,3,1.0,0.97
377,0.0,0.03,0.97,3,1.0,0.97
378,1.0,0.0,0.0,1,0.0,0.0
379,0.0,0.0,1.0,3,1.0,1.0
380,1.0,0.0,0.0,1,0.0,0.0
381,1.0,0.0,0.0,1,0.0,0.0
382,1.0,0.0,0.0,1,0.0,0.0
383,1.0,0.0,0.0,1,0.0,0.0
384,1.0,0.0,0.0,1,0.0,0.0
385,-0.0,1.0,0.0,2,1.0,0.0
386,1.0,0.0,0.0,1,0.0,0.0
387,0.98,0.02,0.0,1,0.02,0.0
388,0.0,1.0,0.0,2,1.0,0.0
389,-0.0,1.0,0.0,2,1.0,0.0
390,1.0,0.0,0.0,1,0.0,0.0
391,0.0,1.0,0.0,2,1.0,0.0
392,1.0,0.0,0.0,1,0.0,0.0
393,0.0,1.0,0.0,2,1.0,0.0
394,1.0,0.0,0.0,1,0.0,0.0
395,1.0,0.0,0.0,1,0.0,0.0
396,1.0,0.0,0.0,1,0.0,0.0
397,1.0,0.0,0.0,1,0.0,0.0
398,1.0,0.0,0.0,1,0.0,0.0
399,0.0,1.0,0.0,2,1.0,0.0
400,1.0,0.0,0.0,1,0.0,0.0
401,0.0,1.0,0.0,2,1.0,0.0
402,0.0,1.0,0.0,2,1.0,0.0
403,-0.0,1.0,0.0,2,1.0,0.0
404,1.0,0.0,0.0,1,0.0,0.0
405,0.0,0.0,1.0,3,1.0,1.0
406,0.0,1.0,0.0,2,1.0,0.0
407,0.0,1.0,0.0,2,1.0,0.0
408,1.0,0.0,0.0,1,0.0,0.0
409,0.0,1.0,0.0,2,1.0,0.0
410,1.0,0.0,0.0,1,0.0,0.0
411,1.0,0.0,0.0,1,0.0,0.0
412,1.0,-0.0,0.0,1,0.0,0.0
413,0.0,1.0,0.0,2,1.0,0.0
414,1.0,0.0,0.0,1,0.0,0.0
415,-0.0,1.0,0.0,2,1.0,0.0
416,1.0,0.0,0.0,1,0.0,0.0
417,1.0,0.0,0.0,1,0.0,0.0
418,1.0,0.0,0.0,1,0.0,0.0
419,0.0,1.0,0.0,2,1.0,0.0
420,1.0,0.0,0.0,1,0.0,0.0
421,1.0,0.0,0.0,1,0.0,0.0
422,1.0,0.0,0.0,1,0.0,0.0
423,1.0,0.0,0.0,1,0.0,0.0
424,0.0,0.0,1.0,3,1.0,1.0
425,0.0,0.0,1.0,3,1.0,1.0
426,1.0,0.0,0.0,1,0.0,0.0
427,1.0,0.0,0.0,1,0.0,0.0
428,1.0,0.0,0.0,1,0.0,0.0
429,-0.0,1.0,0.0,2,1.0,0.0
430,1.0,0.0,0.0,1,0.0,0.0
431,0.0,0.0,1.0,3,1.0,1.0
432,1.0,0.0,0.0,1,0.0,0.0
433,0.0,1.0,0.0,2,1.0,0.0
434,0.0,1.0,0.0,2,1.0,0.0
435,0.0,1.0,0.0,2,1.0,0.0
436,1.0,0.0,0.0,1,0.0,0.0
437,0.0,0.0,1.0,3,1.0,1.0
438,1.0,0.0,0.0,1,0.0,0.0
439,1.0,0.0,0.0,1,0.0,0.0
440,1.0,0.0,0.0,1,0.0,0.0
441,1.0,0.0,0.0,1,0.0,0.0
442,0.0,1.0,0.0,2,1.0,0.0
443,0.0,-0.0,1.0,3,1.0,1.0
444,1.0,0.0,0.0,1,0.0,0.0
445,1.0,0.0,0.0,1,0.0,0.0
446,1.0,0.0,0.0,1,0.0,0.0
447,1.0,0.0,0.0,1,0.0,0.0
448,0.0,0.0,1.0,3,1.0,1.0
449,0.0,0.0,1.0,3,1.0,1.0
450,1.0,0.0,0.0,1,0.0,0.0
451,0.0,1.0,0.0,2,1.0,0.0
452,1.0,0.0,0.0,1,0.0,0.0
453,0.0,1.0,0.0,2,1.0,0.0
454,1.0,0.0,0.0,1,0.0,0.0
455,1.0,0.0,0.0,1,0.0,0.0
456,1.0,0.0,0.0,1,0.0,0.0
457,1.0,0.0,0.0,1,0.0,0.0
458,1.0,0.0,0.0,1,0.0,0.0
459,1.0,0.0,0.0,1,0.0,0.0
460,1.0,0.0,0.0,1,0.0,0.0
461,0.0,0.0,1.0,3,1.0,1.0
462,0.01,0.99,0.0,2,0.99,0.0
463,0.0,0.9,0.1,2,1.0,0.1
464,1.0,0.0,0.0,1,0.0,0.0
465,0.43,0.57,0.0,2,0.57,0.0
466,1.0,0.0,0.0,1,0.0,0.0
467,1.0,0.0,0.0,1,0.0,0.0
468,1.0,0.0,0.0,1,0.0,0.0
469,1.0,0.0,0.0,1,0.0,0.0
470,1.0,0.0,0.0,1,0.0,0.0
471,0.0,1.0,0.0,2,1.0,0.0
472,0.0,-0.0,1.0,3,1.0,1.0
473,0.0,0.0,1.0,3,1.0,1.0
474,1.0,0.0,0.0,1,0.0,0.0
475,1.0,0.0,0.0,1,0.0,0.0
476,0.0,1.0,0.0,2,1.0,0.0
477,0.0,0.65,0.35,2,1.0,0.35
478,1.0,0.0,0.0,1,0.0,0.0
479,0.04,0.96,0.0,2,0.96,0.0
480,1.0,0.0,0.0,1,0.0,0.0
481,1.0,0.0,0.0,1,0.0,0.0
482,0.0,-0.0,1.0,3,1.0,1.0
483,0.0,-0.0,1.0,3,1.0,1.0
484,1.0,0.0,0.0,1,0.0,0.0
485,1.0,0.0,0.0,1,0.0,0.0
486,-0.0,1.0,0.0,2,1.0,0.0
487,0.0,-0.0,1.0,3,1.0,1.0
488,1.0,0.0,0.0,1,0.0,0.0
489,1.0,0.0,0.0,1,0.0,0.0
490,0.0,1.0,0.0,2,1.0,0.0
491,0.0,1.0,0.0,2,1.0,0.0
492,1.0,0.0,0.0,1,0.0,0.0
493,1.0,0.0,0.0,1,0.0,0.0
494,1.0,0.0,0.0,1,0.0,0.0
495,1.0,0.0,0.0,1,0.0,0.0
496,0.01,0.99,0.0,2,0.99,0.0
497,0.0,0.0,1.0,3,1.0,1.0
498,1.0,0.0,0.0,1,0.0,0.0
499,0.0,0.0,1.0,3,1.0,1.0
500,1.0,0.0,0.0,1,0.0,0.0
501,1.0,0.0,0.0,1,0.0,0.0
502,1.0,0.0,0.0,1,0.0,0.0
503,1.0,0.0,0.0,1,0.0,0.0
504,0.38,0.62,0.0,2,0.62,0.0
505,0.0,0.0,1.0,3,1.0,1.0
506,1.0,0.0,0.0,1,0.0,0.0
507,1.0,0.0,0.0,1,0.0,0.0
508,1.0,0.0,0.0,1,0.0,0.0
509,1.0,0.0,0.0,1,0.0,0.0
510,0.0,1.0,0.0,2,1.0,0.0
511,0.0,1.0,0.0,2,1.0,0.0
512,0.0,1.0,0.0,2,1.0,0.0
513,0.0,0.0,1.0,3,1.0,1.0
514,1.0,0.0,0.0,1,0.0,0.0
515,0.0,0.9,0.1,2,1.0,0.1
516,1.0,0.0,0.0,1,0.0,0.0
517,1.0,0.0,0.0,1,0.0,0.0
518,1.0,0.0,0.0,1,0.0,0.0
519,1.0,0.0,0.0,1,0.0,0.0
520,0.0,0.0,1.0,3,1.0,1.0
521,0.0,0.0,1.0,3,1.0,1.0
522,0.0,0.0,1.0,3,1.0,1.0
523,0.0,-0.0,1.0,3,1.0,1.0
524,1.0,-0.0,0.0,1,0.0,0.0
525,0.98,0.02,0.0,1,0.02,0.0
526,1.0,0.0,0.0,1,0.0,0.0
527,1.0,0.0,0.0,1,0.0,0.0
528,1.0,0.0,0.0,1,0.0,0.0
529,-0.0,1.0,0.0,2,1.0,0.0
530,1.0,0.0,0.0,1,0.0,0.0
531,-0.0,1.0,0.0,2,1.0,0.0
532,1.0,0.0,0.0,1,0.0,0.0
533,0.0,1.0,0.0,2,1.0,0.0
534,1.0,0.0,0.0,1,0.0,0.0
535,1.0,0.0,0.0,1,0.0,0.0
536,1.0,0.0,0.0,1,0.0,0.0
537,0.0,0.0,1.0,3,1.0,1.0
538,1.0,0.0,0.0,1,0.0,0.0
539,0.0,1.0,0.0,2,1.0,0.0
540,1.0,0.0,0.0,1,0.0,0.0
541,0.0,1.0,0.0,2,1.0,0.0
542,1.0,0.0,0.0,1,0.0,0.0
543,1.0,0.0,0.0,1,0.0,0.0
544,1.0,0.0,0.0,1,0.0,0.0
545,0.0,0.0,1.0,3,1.0,1.0
546,1.0,0.0,0.0,1,0.0,0.0
547,0.01,-0.01,1.0,3,0.99,1.0
548,1.0,0.0,0.0,1,0.0,0.0
549,0.0,0.0,1.0,3,1.0,1.0
550,0.96,0.04,0.0,1,0.04,0.0
551,0.0,1.0,0.0,2,1.0,0.0
552,1.0,0.0,0.0,1,0.0,0.0
553,1.0,0.0,0.0,1,0.0,0.0
554,0.0,1.0,0.0,2,1.0,0.0
555,0.0,0.65,0.35,2,1.0,0.35
556,1.0,0.0,0.0,1,0.0,0.0
557,1.0,0.0,0.0,1,0.0,0.0
558,0.0,0.0,1.0,3,1.0,1.0
559,0.0,0.0,1.0,3,1.0,1.0
560,1.0,0.0,0.0,1,0.0,0.0
561,1.0,0.0,0.0,1,0.0,0.0
562,1.0,0.0,0.0,1,0.0,0.0
563,0.0,0.0,1.0,3,1.0,1.0
564,1.0,0.0,0.0,1,0.0,0.0
565,0.0,1.0,0.0,2,1.0,0.0
566,0.0,0.0,1.0,3,1.0,1.0
567,0.0,0.0,1.0,3,1.0,1.0
568,0.0,0.03,0.97,3,1.0,0.97
569,0.0,0.0,1.0,3,1.0,1.0
570,1.0,0.0,0.0,1,0.0,0.0
571,0.0,0.0,1.0,3,1.0,1.0
572,1.0,0.0,0.0,1,0.0,0.0
573,0.45,0.55,0.0,2,0.55,0.0
574,1.0,0.0,0.0,1,0.0,0.0
575,1.0,0.0,0.0,1,0.0,0.0
576,1.0,0.0,0.0,1,0.0,0.0
577,0.0,1.0,0.0,2,1.0,0.0
578,1.0,0.0,0.0,1,0.0,0.0
579,0.93,0.07,0.0,1,0.07,0.0
